Time,delt_t
4200.3,0.1
2200.2,0.2
1403.2,0.30000000000000004
1100.3,0.4
900.2,0.5
703.3,0.6000000000000001
603.3,0.7000000000000001
503.6,0.8
503.1,0.9
403.6,1.0
403.2,1.1
304.1,1.2000000000000002
303.8,1.3
303.5,1.4000000000000001
303.2,1.5
300.2,1.6
204.4,1.7000000000000002
204.2,1.8
204.0,1.9000000000000001
